cash_flow,supporting_type,fund_type,description,state,year,value,mode,deflator,chained,population,value_per_pop,chained_per_pop,value_crore,population_crore
Revenue,Supporting,Non-Trust Fund,State general funds,West Virginia,2021,151477000.0,Highways,116.734,129762537.0500454,1785618,84.83169412494722,72.6709391650652,15.15,0.17856
Revenue,Supporting,Non-Trust Fund,State general funds,West Virginia,2022,2263000.0,Highways,128.921,1755338.540656681,1774122,1.275560530786496,0.989412532315524,0.23,0.17741
Revenue,Supporting,Non-Trust Fund,State general funds,Wisconsin,2020,99214000.0,Highways,106.515,93145566.35215697,5894170,16.83256506005086,15.80299963390214,9.92,0.58942
Revenue,Supporting,Non-Trust Fund,State general funds,Wisconsin,2021,82862000.0,Highways,116.734,70983603.74869362,5881608,14.08832414536977,12.06874102264102,8.29,0.58816
Revenue,Supporting,Non-Trust Fund,State general funds,Wisconsin,2022,69312000.0,Highways,128.921,53763157.28236672,5903975,11.73988710995558,9.106264386682993,6.93,0.5904
Revenue,Supporting,Non-Trust Fund,State general funds,Wyoming,2020,6098000.0,Highways,106.515,5725015.25606722,576844,10.57131564166395,9.92472012548838,0.61,0.05768
Revenue,Supporting,Non-Trust Fund,State general funds,Wyoming,2021,682611861.8412056,Highways,116.734,235179482.22019693,579636,112.19132970310568,38.134588913698366,68.26,0.05796
Revenue,Supporting,Non-Trust Fund,State general funds,Wyoming,2022,682611861.8412056,Highways,128.921,235179482.22019693,581978,112.19132970310568,38.134588913698366,68.26,0.0582
Revenue,Supporting,Non-Trust Fund,Other state funds,Alabama,2020,682611861.8412056,Highways,106.515,235179482.22019693,5025369,112.19132970310568,38.134588913698366,68.26,0.50254
Revenue,Supporting,Non-Trust Fund,Other state funds,Alabama,2021,682611861.8412056,Highways,116.734,235179482.22019693,5049196,112.19132970310568,38.134588913698366,68.26,0.50492
Revenue,Supporting,Non-Trust Fund,Other state funds,Alabama,2022,682611861.8412056,Highways,128.921,235179482.22019693,5076181,112.19132970310568,38.134588913698366,68.26,0.50762
