cash_flow,own_supporting,user_other,trust_fund,exp_type,gov_level,description,state,state_code,year,estimate_actual,value,mode,deflator,chained,gov_level_sort_order,mode_sort_order,user_other_grp,chained_year,state_code_sort_order,population,value_per_pop,chained_per_pop
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Maryland,MD,2020,Actual,321314000,Highways,106.515,301660798.9,1,0,Other,2017,23,6181629,51.97885541,48.79956383
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Maryland,MD,2021,Actual,477436000,Highways,116.734,408994808.7,1,0,Other,2017,23,6179403,77.26247989,66.18678353
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Maryland,MD,2022,Actual,490317000,Highways,128.921,380323609,1,0,Other,2017,23,6192440,79.17993553,61.4174072
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Massachusetts,MA,2020,Actual,352716000,Highways,106.515,331142092.7,1,0,Other,2017,22,7033132,50.1506299,47.08316191
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Massachusetts,MA,2021,Actual,0,Highways,116.734,0,1,0,Other,2017,22,7000474,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Massachusetts,MA,2022,Actual,0,Highways,128.921,0,1,0,Other,2017,22,7022468,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Michigan,MI,2020,Actual,669048000,Highways,106.515,628125616.1,1,0,Other,2017,25,10079338,66.37816888,62.31814194
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Michigan,MI,2021,Actual,910157000,Highways,116.734,779684582,1,0,Other,2017,25,10041351,90.64089085,77.64737853
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Michigan,MI,2022,Actual,949427000,Highways,128.921,736440921.2,1,0,Other,2017,25,10050877,94.46210515,73.27130968
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Minnesota,MN,2020,Actual,18586000,Highways,106.515,17449185.56,1,0,Other,2017,26,5706692,3.256878065,3.057670812
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Minnesota,MN,2021,Actual,39052000,Highways,116.734,33453835.22,1,0,Other,2017,26,5718660,6.828872498,5.849943031
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Minnesota,MN,2022,Actual,15730000,Highways,128.921,12201270.55,1,0,Other,2017,26,5721621,2.749220894,2.132484928
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Mississippi,MS,2020,Actual,0,Highways,106.515,0,1,0,Other,2017,29,2961278,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Mississippi,MS,2021,Actual,0,Highways,116.734,0,1,0,Other,2017,29,2947209,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Mississippi,MS,2022,Actual,0,Highways,128.921,0,1,0,Other,2017,29,2941939,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Missouri,MO,2020,Actual,54293000,Highways,106.515,50972163.55,1,0,Other,2017,27,6154854,8.821167813,8.281620254
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Missouri,MO,2021,Actual,49948000,Highways,116.734,42787876.71,1,0,Other,2017,27,6171374,8.093497493,6.933282072
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Missouri,MO,2022,Actual,49979000,Highways,128.921,38767151.98,1,0,Other,2017,27,6179414,8.087983747,6.273596813
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Montana,MT,2020,Actual,1385000,Highways,106.515,1300286.345,1,0,Other,2017,30,1084216,1.277420735,1.199287176
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Montana,MT,2021,Actual,1188000,Highways,116.734,1017698.357,1,0,Other,2017,30,1106522,1.073634324,0.919727178
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Montana,MT,2022,Actual,2456000,Highways,128.921,1905042.623,1,0,Other,2017,30,1122095,2.188762984,1.697755202
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Nebraska,NE,2020,Actual,44639000,Highways,106.515,41908651.36,1,0,Other,2017,33,1961996,22.75183028,21.36021244
